,username,text,hashtags
20,leopoldoantoni,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
21,tuservidor77,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
22,kamizaky100,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
23,RosaGui00822395,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
24,ultimahsv,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
25,LAPUERTADELDIAB,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
26,_Charlie_Javier,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
27,ultimahsv,"#SeguridadCiudadana | Cristian Ernesto Alfaro Rodríguez, alias Caballito, quien se dedicaba a extorsionar a comerciantes y habitantes de San Marcos, fue capturado por la @PNCSV.

El sujeto será puesto a la orden de la @FGR_SV y podría enfrentar hasta 30 años de prisión. https://t.co/FtReLHk0kK",['SeguridadCiudadana']
28,NikiChavez6,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
29,MiguelR97654502,"#SeguridadCiudadana | #PlanControlTerritorial cumple hoy 3 años de implementación

Nota completa: https://t.co/ZN2ksoLIrY https://t.co/qBaT7kMGfI","['SeguridadCiudadana', 'PlanControlTerritorial']"
30,ultimahsv,"#SeguridadCiudadana | #PlanControlTerritorial cumple hoy 3 años de implementación

Nota completa: https://t.co/ZN2ksoLIrY https://t.co/qBaT7kMGfI","['SeguridadCiudadana', 'PlanControlTerritorial']"
31,HelveticoSV,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
32,GatoEnZumba,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
33,ultimahsv,"#SeguridadCiudadana | Juan Carlos Herrera Ramírez, alias Manota, es un peligroso pandillero, quien tenía un número 18 tatuado en el interior de su labio inferior que intentó cubrirlo con unas letras. https://t.co/Q4gKemRVGc",['SeguridadCiudadana']
34,Marina20224,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
35,HelveticoSV,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
36,GatoEnZumba,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
37,SolNaci29528542,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
38,ultimahsv,"#SeguridadCiudadana  | Cuatro pandilleros fueron capturados en La Libertad, entre ellos, Luis Gabriel Hernández Cornejo, alias Empanada, palabrero que ordenaba homicidios, extorsiones y otros delitos en el cantón Ateos de Sacacoyo. https://t.co/SmUeWW4WR8",['SeguridadCiudadana']
39,DefendamosES,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
40,g_xzg,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
41,ultimahsv,"#SeguridadCiudadana | Amílcar Vladimir Vásquez Delgado, alias Cacerola, fue capturado por la @PNCSV, en Ciudad Delgado, San Salvador.

El sujeto es miembro de una estructura criminal y fue fichado desde 2004, por delinquir en diferentes colonias de Mejicanos. https://t.co/iyXneZJtNP",['SeguridadCiudadana']
42,Martikaeche04,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
43,NikiChavez6,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
44,Alejand99468709,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
45,FrancoLastenia,"#SeguridadCiudadana | Elementos de la @FUERZARMADASV ubicaron a un miembro de una estructura criminal en la urbanización La Gloria, Mejicanos, San Salvador. El procedimiento fue entregado a la @PNCSV. https://t.co/YQGBqPZOB0",['SeguridadCiudadana']
46,FrancoLastenia,"#SeguridadCiudadana | La @PNCSV capturó a Elmer Willian Velasquez, alias Spy, un peligroso pandillero que atemorizaba a la población en la colonia Urbina de San Miguel. https://t.co/rddgG8FDj0",['SeguridadCiudadana']
47,CarlosCUSNRet,"#SeguridadCiudadana | Capturan a Raúl Ernesto Díaz Mártir, alias el Pato; y a Joaquín Steve Aguilar López, alias el Negro; en el cantón Tecuma en Izalco, Sonsonate. https://t.co/RXJTWnz2vc",['SeguridadCiudadana']
