,username,text,hashtags
25,Agust283,"#SeguridadCiudadana | La @PNCSV arrestó a un terrorista identificado como José Gerardo Natarén, alias el Flaco, quien tiene antecedentes por violación.

El capturado será procesado por agrupaciones ilícitas. https://t.co/8Fpjs74GZp",['SeguridadCiudadana']
26,ultimahsv,"#SeguridadCiudadana | La @PNCSV arrestó a un terrorista identificado como José Gerardo Natarén, alias el Flaco, quien tiene antecedentes por violación.

El capturado será procesado por agrupaciones ilícitas. https://t.co/8Fpjs74GZp",['SeguridadCiudadana']
27,tuservidor77,"#SeguridadCiudadana | 2 armas largas y 3 cortas fueron localizadas al interior de una casa en la colonia Ciudad Jardín, San Miguel.

El inmueble era ocupado por terroristas.

El laboratorio científico de la @PNCSV determinará el origen del arsenal y su participación en crímenes. https://t.co/eqpPs0vVBZ",['SeguridadCiudadana']
28,GatoEnZumba,"#SeguridadCiudadana | Propietario de agroservicio es capturado por comercializar semilla de paquetes agrícolas 

Nota completa: https://t.co/BPT97lzrcI https://t.co/JBv5EJMJ5Q",['SeguridadCiudadana']
29,CocaLeyla,"#SeguridadCiudadana | Propietario de agroservicio es capturado por comercializar semilla de paquetes agrícolas 

Nota completa: https://t.co/BPT97lzrcI https://t.co/JBv5EJMJ5Q",['SeguridadCiudadana']
30,ultimahsv,"#SeguridadCiudadana | Propietario de agroservicio es capturado por comercializar semilla de paquetes agrícolas 

Nota completa: https://t.co/BPT97lzrcI https://t.co/JBv5EJMJ5Q",['SeguridadCiudadana']
31,elias_artista,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
32,MiguelR97654502,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
33,RicardoZaldiva4,"#SeguridadCiudadana | Un menor de edad, perfilado como miembro de la MS-13 en el caserío La Hacienda Nueva, del cantón Potrero de Batres, San Isidro, Cabañas, fue capturado por la @FUERZARMADASV en conjunto con la @PNCSV. https://t.co/lJQREChpyR",['SeguridadCiudadana']
34,Lisseth25492764,"#SeguridadCiudadana | La @FUERZARMADASV y la @PNCSV capturó a Sarbia Maldonado Salgado, alias Gorda, perfilada como miembro de la Mao Mao y a quien se le incautó una pistola y 6 cartuchos en ctón. Plan del Pino, Cdad. Delgado, San Salvador. https://t.co/KUbSTv4oSG",['SeguridadCiudadana']
